Tag,Alloy name,Citation,Citation,Citation,Citation,Citation,Citation,Alloy type,Alloy type,Alloy type,Alloy type,Alloy type,Alloy type,Alloy type,Alloy type,Alloy type,Alloy type,Alloy type,Alloy type,Alloy type,Alloy type,Alloy type,Alloy type,Notes,Solution heat treatment,Solution heat treatment,Solution heat treatment,Solution heat treatment,Solution heat treatment,Solution heat treatment,Precipitation heat treatment,Precipitation heat treatment,Precipitation heat treatment,Precipitation heat treatment,Precipitation heat treatment,Precipitation heat treatment,Composition,Composition,Composition,Composition,Composition,Composition,Composition,Composition,Composition,Composition,Composition,Composition,Composition,Composition,Composition,Composition,Composition,Composition,Composition,Composition,Composition,Composition,Composition,Composition,Phase 1/Phase 2 partitioning ratio,Phase 1/Phase 2 partitioning ratio,Phase 1/Phase 2 partitioning ratio,Phase 1/Phase 2 partitioning ratio,Phase 1/Phase 2 partitioning ratio,Phase 1/Phase 2 partitioning ratio,Phase 1/Phase 2 partitioning ratio,Phase 1/Phase 2 partitioning ratio,Phase 1/Phase 2 partitioning ratio,Phase 1/Phase 2 partitioning ratio,Phase 1/Phase 2 partitioning ratio,Phase 1/Phase 2 partitioning ratio,Phase 1/Phase 2 partitioning ratio,Phase 1/Phase 2 partitioning ratio,Phase 1/Phase 2 partitioning ratio,Phase 1/Phase 2 partitioning ratio,Phase 1/Phase 2 partitioning ratio,Phase 1/Phase 2 partitioning ratio,Phase 1/Phase 2 partitioning ratio,Phase 1/Phase 2 partitioning ratio,Phase 1/Phase 2 partitioning ratio,Phase 1/Phase 2 partitioning ratio,Phase 1/Phase 2 partitioning ratio,Phase 1/Phase 2 partitioning ratio,Density,Lattice param,RT lattice misfit,RT lattice misfit,RT lattice misfit,Tensile properties,Tensile properties,Tensile properties,Tensile properties,Tensile properties,Tensile properties,Tensile properties,Tensile properties,Tensile properties,Tensile properties,Tensile properties,Tensile properties,Tensile properties,Tensile properties,Tensile properties,Tensile properties,Tensile properties,Tensile properties,Tensile properties,Tensile properties,Tensile properties,Tensile properties,Tensile properties,Tensile properties,Tensile properties,Tensile properties,Tensile properties,Tensile properties,Tensile properties,Tensile properties,Tensile properties,Tensile properties,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Creep strength,Fatigue life,Fatigue life,Fatigue life,Fatigue life,Fatigue life,Fatigue life,Fatigue life,Fatigue life,Fatigue life,Fatigue life,Fatigue life,Fatigue life,Fatigue life,Fatigue life,Fatigue life,Fatigue life,SFE,SFE,SFE,SFE,SFE,SFE,SFE,SFE
MC2_D94_A1_2,MC2,Duval et al 94,10.1016/0956-7151(94)90061-1,,,,,0,,,,,,,,,,,0,MC2_D94_0_2,γ,A1,,,,,,,,,,,,,,,0.6457358853,0.1410802171,0.07278660883,0,0,0.05741760978,0.009653858751,0.03900098909,0.01608976458,0.01823506653,0,0,0.602,0.157,0.081,0,0,0.083,0.009,0.036,0.015,0.017,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MC2_D94_L1_2_2,MC2,Duval et al 94,10.1016/0956-7151(94)90061-1,,,,,0,,,,,,,,,,,0,MC2_D94_0_2,γ',L1_2,,,,,,,,,,,,,,,0.7487052696,0.02591073972,0.03931284648,0,0,0.09835997314,0.02346369791,0.02585233108,0.03199595169,0.006399190339,0,0,0.702,0.029,0.044,0,0,0.143,0.022,0.024,0.03,0.006,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MC2_D94_0_3,MC2,Duval et al 94,10.1016/0956-7151(94)900610,,,,,1,γ,MC2_D94_A1_3,0.3457938975,0.49,,γ',MC2_D94_L1_2_3,0.6542061025,0.51,,1,,,,sc,,1300,3,0,0,0,0,1100,4,850,24,1050,100,0.7039655805,0.08322561164,0.04563985154,0,0,0.0771600712,0.02136466102,0.02805136818,0.02670582627,0.01388702966,0,0,0.659,0.093,0.051,0,0,0.112,0.02,0.026,0.025,0.013,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MC2_D94_A1_3,MC2,Duval et al 94,10.1016/0956-7151(94)900610,,,,,0,,,,,,,,,,,0,MC2_D94_0_3,γ,A1,,,,,,,,,,,,,,,0.6146915916,0.1773517613,0.08192391006,0,0,0.04504879582,0.006447813898,0.03907315085,0.008597085197,0.02686589124,0,0,0.572,0.197,0.091,0,0,0.065,0.006,0.036,0.008,0.025,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MC2_D94_L1_2_3,MC2,Duval et al 94,10.1016/0956-7151(94)900610,,,,,0,,,,,,,,,,,0,MC2_D94_0_3,γ',L1_2,,,,,,,,,,,,,,,0.7355876762,0.02239206011,0.03941002579,0,0,0.1082565656,0.02459086708,0.02699607989,0.03528254842,0.007484176938,0,0,0.688,0.025,0.044,0,0,0.157,0.023,0.025,0.033,0.007,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM3_G96_0,AM3,Glas et al 1996,10.1016/S1359-6454(96)00096-1,,,,,1,γ,AM3_G96_A1,0.2875228786,0.29,,γ',AM3_G96_L1_2,0.7124771214,0.71,,1,,,,sc,Cited as from private communication from Blavette,1300,3,0,0,0,0,1100,4,850,24,0,0,0.7139420508,0.07977613158,0.04838732671,0,0,0.08869497858,0.01191692746,0.01691533507,0.02587368936,0.01449356043,0,0,0.665,0.0887,0.0538,0,0,0.1281,0.0111,0.0156,0.0241,0.0135,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM3_G96_A1,AM3,Glas et al 1996,10.1016/S1359-6454(96)00096-1,,,,,0,,,,,,,,,,,0,AM3_G96_0,γ,A1,,,,,,,,,,,,,,,0.5652458861,0.2458352943,0.1070426743,0,0,0.02583909017,0.0043313861,0.01640487237,0.00389824749,0.03140254923,0,0,0.522,0.271,0.118,0,0,0.037,0.004,0.015,0.0036,0.029,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM3_G96_L1_2,AM3,Glas et al 1996,10.1016/S1359-6454(96)00096-1,,,,,0,,,,,,,,,,,0,AM3_G96_0,γ',L1_2,,,,,,,,,,,,,,,0.7739489592,0.01276231871,0.02471673593,0,0,0.1140607137,0.01497810181,0.01712133426,0.03474196332,0.007669873062,0,0,0.7234084507,0.01423943662,0.02757746479,0,0,0.1653098592,0.014,0.01584507042,0.03247323944,0.007169014085,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM3_G96_A1_1,AM3,Glas et al 1996,10.1016/S1359-6454(96)00096-1,,,,,0,,,,,,,,,,,0,,γ,A1,,Experimental study of single phase (γ) crystals,1300,3,0,0,0,0,0,0,0,0,0,0,0.5652458861,0.2458352943,0.1070426743,0,0,0.02583909017,0.0043313861,0.01640487237,0.00389824749,0.03140254923,0,0,0.522,0.271,0.118,0,0,0.037,0.004,0.015,0.0036,0.029,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MC2_G96_A1,MC2,Glas et al 1996,10.1016/S1359-6454(96)00096-1,,Benyoucef et al (96),10.1051/mmm:1996106,,0,,,,,,,,,,,0,,γ,A1,,Experimental study of single phase (γ) crystals,1300,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,21,,,,,,
TMS-63_H93_0,TMS-63,Harada et al 93,10.1016/0169-4332(93)90329-A,,,,,1,γ,TMS-63_H93_A1,0.4401094563,0.42,,γ',TMS-63_H93_L1_2,0.5598905437,0.58,,1,,,,sc,Composition was determined on ruptured sample,1300,4,0,0,0,0,982,5,870,20,1040,3,0.7649411379,0.06942216605,0,0,0,0.08701774574,0.02974771092,0,0,0.04887123937,0,0,0.72,0.078,0,0,0,0.127,0.028,0,0,0.046,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1040,137,,,,2657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TMS-63_H93_A1,TMS-63,Harada et al 93,10.1016/0169-4332(93)90329-A,,,,,0,,,,,,,,,,,0,TMS-63_H93_0,γ,A1,,,,,,,,,,,,,,,0.7557615004,0.1254337318,0,0,0,0.04710279726,0.001037726658,0,0,0.07066424386,0,0,0.7282857143,0.1442857143,0,0,0,0.07038095238,0.001,0,0,0.0680952381,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
